abashed,more abashed,most abashed
airy-fairy,more airy-fairy,most airy-fairy
akin,more akin,most akin
alarmed,more alarmed,most alarmed
alarming,more alarming,most alarming
alert,more alert,most alert
alienated,more alienated,most alienated
alike,more alike,most alike
allegorical,more allegorical,most allegorical
allergenic,more allergenic,most allergenic
alluring,more alluring,most alluring
aloof,more aloof,most aloof
altruistic,more altruistic,most altruistic
amateurish,more amateurish,most amateurish
amazed,more amazed,most amazed
amazing,more amazing,most amazing
ambiguous,more ambiguous,most ambiguous
ambitious,more ambitious,most ambitious
ambivalent,more ambivalent,most ambivalent
#,Americanized,['Americanised'],[],[],more ~; most ~
amiable,more amiable,most amiable
amicable,more amicable,most amicable
amoral,more amoral,most amoral
amorous,more amorous,most amorous
amorphous,more amorphous,most amorphous
ample,ampler/more ample,amplest/most ample
amused,more amused,most amused
amusing,more amusing,most amusing
anachronistic,more anachronistic,most anachronistic
analogous,more analogous,most analogous
anal-retentive,more anal-retentive,most anal-retentive
#,analytical,['an·a·lyt·ic'],[],[],more ~; most ~
anarchic,more anarchic,most anarchic
anarchistic,more anarchistic,most anarchistic
ancient,more ancient,most ancient
androgynous,more androgynous,most androgynous
anecdotal,more anecdotal,most anecdotal
angelic,more angelic,most angelic
Anglophobic,more Anglophobic,most Anglophobic
angry,angrier/more angry,angriest/most angry
anguished,more anguished,most anguished
angular,more angular,most angular
annoyed,more annoyed,most annoyed
annoying,more annoying,most annoying
anodyne,more anodyne,most anodyne
anomalous,more anomalous,most anomalous
antagonistic,more antagonistic,most antagonistic
antediluvian,more antediluvian,most antediluvian
antic,more antic,most antic
antiquated,more antiquated,most antiquated
anti-Semitic,more anti-Semitic,most anti-Semitic
antisocial,more antisocial,most antisocial
antithetical,more antithetical,most antithetical
antsy,antsier,antsiest
anxious,more anxious,most anxious
apathetic,more apathetic,most apathetic
apelike,more apelike,most apelike
aphoristic,more aphoristic,most aphoristic
apocalyptic,more apocalyptic,most apocalyptic
apolitical,more apolitical,most apolitical
apologetic,more apologetic,most apologetic
appalling,more appalling,most appalling
appealing,more appealing,most appealing
#,appetizing,['ap·pe·tis·ing'],[],[],more ~; most ~
applicable,more applicable,most applicable
apposite,more apposite,most apposite
appreciative,more appreciative,most appreciative
apprehensive,more apprehensive,most apprehensive
appropriate,more appropriate,most appropriate
approving,more approving,most approving
apropos,more apropos,most apropos
apt,apter/more apt,aptest/most apt
aquiline,more aquiline,most aquiline
arcane,more arcane,most arcane
archetypal,more archetypal,most archetypal
ardent,more ardent,most ardent
arduous,more arduous,most arduous
argumentative,more argumentative,most argumentative
arid,more arid,most arid
aristocratic,more aristocratic,most aristocratic
aromatic,more aromatic,most aromatic
arousing,more arousing,most arousing
arrant,more arrant,most arrant
arresting,more arresting,most arresting
arrogant,more arrogant,most arrogant
artful,more artful,most artful
arthritic,more arthritic,most arthritic
articulate,more articulate,most articulate
artless,more artless,most artless
artsy,artsier/more artsy,artsiest/most artsy
arty,artier/more arty,artiest/most arty
ascendant,more ascendant,most ascendant
ascetic,more ascetic,most ascetic
aseptic,more aseptic,most aseptic
ashamed,more ashamed,most ashamed
ashen,more ashen,most ashen
asinine,more asinine,most asinine
aspirational,more aspirational,most aspirational
assertive,more assertive,most assertive
assiduous,more assiduous,most assiduous
astigmatic,more astigmatic,most astigmatic
astonished,more astonished,most astonished
astonishing,more astonishing,most astonishing
astounded,more astounded,most astounded
astounding,more astounding,most astounding
astringent,more astringent,most astringent
astute,more astute,most astute
asymmetrical/asymmetric,more asymmetrical/more asymmetric,most asymmetrical/most asymmetric
atheistic,more atheistic,most atheistic
attainable,more attainable,most attainable
attentive,more attentive,most attentive
attractive,more attractive,most attractive
audacious,more audacious,most audacious
audible,more audible,most audible
august,more august,most august
auspicious,more auspicious,most auspicious
austere,more austere,most austere
authoritarian,more authoritarian,most authoritarian
authoritative,more authoritative,most authoritative
autocratic,more autocratic,most autocratic
autonomous,more autonomous,most autonomous
autumnal,more autumnal,most autumnal
available,more available,most available
avaricious,more avaricious,most avaricious
avid,more avid,most avid
avuncular,more avuncular,most avuncular
aware,more aware,most aware
awesome,more awesome,most awesome
awful,more awful,most awful
awkward,more awkward,most awkward
babyish,more babyish,most babyish
backbreaking,more backbreaking,most backbreaking
backhanded,more backhanded,most backhanded
backward-looking,more backward-looking,most backward-looking
bad,worse,worst
bad-tempered,more bad-tempered,most bad-tempered
baffled,more baffled,most baffled
baffling,more baffling,most baffling
baggy,baggier,baggiest
balanced,more balanced,most balanced
bald,balder,baldest
bald-faced,more bald-faced,most bald-faced
baleful,more baleful,most baleful
balky,balkier/more balky,balkiest/most balky
balletic,more balletic,most balletic
ballsy,ballsier,ballsiest
balmy,balmier,balmiest
banal,more banal,most banal
bankable,more bankable,most bankable
barbarous,more barbarous,most barbarous
bare,barer,barest
bare-bones,more bare-bones,most bare-bones
barefaced,more barefaced,most barefaced
barmy,barmier/more barmy,barmiest/most barmy
bashful,more bashful,most bashful
basic,more basic,most basic
batty,battier,battiest
bawdy,bawdier,bawdiest
beady,beadier,beadiest
bearable,more bearable,most bearable
bearish,more bearish,most bearish
beastly,beastlier/more beastly,beastliest/most beastly
beat-up,more beat-up,most beat-up
beautiful,more beautiful,most beautiful
becoming,more becoming,most becoming
bedraggled,more bedraggled,most bedraggled
beefy,beefier,beefiest
beery,beerier,beeriest
befuddled,more befuddled,most befuddled
beggarly,more beggarly,most beggarly
begrudging,more begrudging,most begrudging
beguiling,more beguiling,most beguiling
belated,more belated,most belated
believable,more believable,most believable
belittling,more belittling,most belittling
bellicose,more bellicose,most bellicose
beloved,more beloved,most beloved
bemused,more bemused,most bemused
bendy,bendier/more bendy,bendiest/most bendy
beneficent,more beneficent,most beneficent
beneficial,more beneficial,most beneficial
benevolent,more benevolent,most benevolent
benighted,more benighted,most benighted
bent,more bent,most bent
beseeching,more beseeching,most beseeching
besotted,more besotted,most besotted
bestial,more bestial,most bestial
bewildered,more bewildered,most bewildered
bewildering,more bewildering,most bewildering
bewitching,more bewitching,most bewitching
biased,more biased,most biased
big,bigger,biggest
big-boned,bigger-boned/more big-boned,biggest-boned/most big-boned
big-hearted,more big-hearted,most big-hearted
bigoted,more bigoted,most bigoted
bilious,more bilious,most bilious
birdlike,more birdlike,most birdlike
bitchin',more bitchin',most bitchin'
bitchy,bitchier/more bitchy,bitchiest/most bitchy
biting,more biting,most biting
bitter,more bitter,most bitter
bittersweet,more bittersweet,most bittersweet
bizarre,more bizarre,most bizarre
black,blacker,blackest
blah,more blah,most blah
blameless,more blameless,most blameless
blameworthy,more blameworthy,most blameworthy
bland,blander,blandest
blank,blanker,blankest
blasphemous,more blasphemous,most blasphemous
blasé,more blasé,most blasé
blatant,more blatant,most blatant
blazing,more blazing,most blazing
bleak,bleaker,bleakest
bleary,blearier,bleariest
bleary-eyed,more bleary-eyed,most bleary-eyed
blessed,more blessed,most blessed
blind,blinder,blindest
blinding,more blinding,most blinding
blissful,more blissful,most blissful
blistering,more blistering,most blistering
blithe,blither,blithest
bloated,more bloated,most bloated
blocky,blockier,blockiest
blond/blonde,blonder,blondest
bloodcurdling,more bloodcurdling,most bloodcurdling
bloodied,more bloodied,most bloodied
bloodless,more bloodless,most bloodless
bloodshot,more bloodshot,most bloodshot
bloodthirsty,more bloodthirsty,most bloodthirsty
bloody,bloodier/more bloody,bloodiest/most bloody
bloody-minded,more bloody-minded,most bloody-minded
blotchy,blotchier/more blotchy,blotchiest/most blotchy
blotto,more blotto,most blotto
#,blowsy,['blow·zy'],['blowsier', 'blowsiest'],['blow·si·er', '-est'],also more ~; most ~
blowy,blowier,blowiest
blue,bluer,bluest
blue-blooded,more blue-blooded,most blue-blooded
bluesy,bluesier,bluesiest
bluff,more bluff,most bluff
bluish,more bluish,most bluish
blunt,blunter/more blunt,bluntest/most blunt
blurred,more blurred,most blurred
blurry,blurrier/more blurry,blurriest/most blurry
blustery,more blustery,most blustery
boastful,more boastful,most boastful
bodacious,more bodacious,most bodacious
boffo,more boffo,most boffo
boggy,boggier/more boggy,boggiest/most boggy
boisterous,more boisterous,most boisterous
bold,bolder/more bold,boldest/most bold
#,bolshie,['bol·shy'],[],[],more ~; most ~
bombastic,more bombastic,most bombastic
bone-chilling,more bone-chilling,most bone-chilling
boneheaded,more boneheaded,most boneheaded
#,bonny,['bon·nie'],['bonnier', 'bonniest'],['bon·ni·er', '-est'],
bony,bonier/more bony,boniest/most bony
bookish,more bookish,most bookish
bored,more bored,most bored
boring,more boring,most boring
bossy,bossier,bossiest
bothersome,more bothersome,most bothersome
bouncy,bouncier,bounciest
bounteous,more bounteous,most bounteous
boyish,more boyish,most boyish
bracing,more bracing,most bracing
brainless,more brainless,most brainless
brainy,brainier/more brainy,brainiest/most brainy
brash,brasher,brashest
brassy,brassier,brassiest
bratty,brattier,brattiest
brave,braver,bravest
brawny,brawnier,brawniest
brazen,more brazen,most brazen
breakable,more breakable,most breakable
breathable,more breathable,most breathable
breathtaking,more breathtaking,most breathtaking
breathy,breathier,breathiest
breezy,breezier,breeziest
brief,briefer,briefest
bright,brighter,brightest
brilliant,more brilliant,most brilliant
briny,brinier,briniest
brisk,brisker,briskest
bristly,bristlier,bristliest
brittle,brittler/more brittle,brittlest/most brittle
broad,broader,broadest
broad-minded,more broad-minded,most broad-minded
brooding,more brooding,most brooding
broody,broodier,broodiest
brotherly,more brotherly,most brotherly
brown,er,est
brownish,more brownish,most brownish
bruising,more bruising,most bruising
brusque,more brusque,most brusque
brutal,more brutal,most brutal
brutish,more brutish,most brutish
bubbly,bubblier,bubbliest
buddy-buddy,more buddy-buddy,most buddy-buddy
#,buff,['buffed'],[],[],more ~; most ~
buggy,buggier,buggiest
built-up,more built-up,most built-up
bulbous,more bulbous,most bulbous
bulky,bulkier/more bulky,bulkiest/most bulky
bullheaded,more bullheaded,most bullheaded
bullish,more bullish,most bullish
bummed,more bummed,most bummed
bumptious,more bumptious,most bumptious
bumpy,bumpier/more bumpy,bumpiest/most bumpy
buoyant,more buoyant,most buoyant
burdensome,more burdensome,most burdensome
bureaucratic,more bureaucratic,most bureaucratic
burly,burlier/more burly,burliest/most burly
burnable,more burnable,most burnable
bushed,more bushed,most bushed
bushy,bushier/more bushy,bushiest/most bushy
businesslike,more businesslike,most businesslike
busty,bustier/more busty,bustiest/most busty
busy,busier/more busy,busiest/most busy
butch,more butch,most butch
buttery,more buttery,most buttery
buttoned-up,more buttoned-up,most buttoned-up
byzantine,more byzantine,most byzantine
cack-handed,more cack-handed,most cack-handed
cacophonous,more cacophonous,most cacophonous
cadaverous,more cadaverous,most cadaverous
caddish,more caddish,most caddish
#,cagey,['ca·gy'],['cagier', 'cagiest'],['ca·gi·er', '-est'],
calamitous,more calamitous,most calamitous
calculated,more calculated,most calculated
calculating,more calculating,most calculating
callous,more callous,most callous
calloused,more calloused,most calloused
callow,callower/more callow,callowest/most callow
calm,calmer,calmest
caloric,more caloric,most caloric
campy,campier,campiest
candid,more candid,most candid
canny,cannier,canniest
canonical,more canonical,most canonical
cantankerous,more cantankerous,most cantankerous
capacious,more capacious,most capacious
capital-intensive,more capital-intensive,most capital-intensive
capricious,more capricious,most capricious
captivating,more captivating,most captivating
carcinogenic,more carcinogenic,most carcinogenic
carefree,more carefree,most carefree
careful,more careful,most careful
careless,more careless,most careless
careworn,more careworn,most careworn
cataclysmic,more cataclysmic,most cataclysmic
catastrophic,more catastrophic,most catastrophic
catchy,catchier,catchiest
cathartic,more cathartic,most cathartic
catty,cattier,cattiest
caustic,more caustic,most caustic
cautious,more cautious,most cautious
cavalier,more cavalier,most cavalier
cavernous,more cavernous,most cavernous
celebrated,more celebrated,most celebrated
celebratory,more celebratory,most celebratory
censorious,more censorious,most censorious
ceremonious,more ceremonious,most ceremonious
#,chagrined,['cha·grinned'],[],[],more ~; most ~
chalky,chalkier/more chalky,chalkiest/most chalky
challenging,more challenging,most challenging
chancy,chancier/more chancy,chanciest/most chancy
changeable,more changeable,most changeable
chaotic,more chaotic,most chaotic
chapped,more chapped,most chapped
characterful,more characterful,most characterful
characteristic,more characteristic,most characteristic
characterless,more characterless,most characterless
charmed,more charmed,most charmed
charming,more charming,most charming
charmless,more charmless,most charmless
chary,charier,chariest
chaste,chaster/more chaste,chastest/most chaste
chastening,more chastening,most chastening
chatty,chattier,chattiest
#,chauvinist,['chau·vin·is·tic'],[],[],more ~; most ~
cheap,cheaper,cheapest
cheapo,more cheapo,most cheapo
cheeky,cheekier,cheekiest
cheerful,more cheerful,most cheerful
cheerless,more cheerless,most cheerless
cheery,cheerier,cheeriest
cheesy,cheesier,cheesiest
cherished,more cherished,most cherished
chewy,chewier/more chewy,chewiest/most chewy
chic,more chic,most chic
chichi,more chichi,most chichi
chicken,more chicken,most chicken
chickenshit,more chickenshit,most chickenshit
childish,more childish,most childish
childlike,more childlike,most childlike
childproof,more childproof,most childproof
chilling,more chilling,most chilling
chilly,chillier/more chilly,chilliest/most chilly
chimerical,more chimerical,most chimerical
chintzy,chintzier/more chintzy,chintziest/most chintzy
chipper,more chipper,most chipper
chirpy,chirpier/more chirpy,chirpiest/most chirpy
chivalrous,more chivalrous,most chivalrous
#,chocolaty,['choc·o·lat·ey'],[],[],more ~; most ~
choice,choicer,choicest
choleric,more choleric,most choleric
#,choosy,['choos·ey'],['choosier', 'choosiest'],['choos·i·er', '-est'],also more ~; most ~
choppy,choppier,choppiest
chowderheaded,more chowderheaded,most chowderheaded
#,Christmassy,['Christ·masy'],[],[],more ~; most ~
chubby,chubbier,chubbiest
chuckleheaded,more chuckleheaded,most chuckleheaded
chuffed,more chuffed,most chuffed
chummy,chummier/more chummy,chummiest/most chummy
chunky,chunkier,chunkiest
churlish,more churlish,most churlish
circuitous,more circuitous,most circuitous
circumspect,more circumspect,most circumspect
circumstantial,more circumstantial,most circumstantial
citrusy,more citrusy,most citrusy
civilized/civilised,more civilized/more civilised,most civilized/most civilised
clad,more clad,most clad
clammy,clammier,clammiest
clamorous,more clamorous,most clamorous
clannish,more clannish,most clannish
class-conscious,more class-conscious,most class-conscious
classic,more classic,most classic
classifiable,more classifiable,most classifiable
classist,more classist,most classist
classy,classier/more classy,classiest/most classy
claustrophobic,more claustrophobic,most claustrophobic
claylike,more claylike,most claylike
clean,cleaner,cleanest
clean-cut,more clean-cut,most clean-cut
clear,clearer/more clear,clearest/most clear
clear-cut,more clear-cut,most clear-cut
clear-eyed,more clear-eyed,most clear-eyed
clearheaded,more clearheaded,most clearheaded
clear-sighted,more clear-sighted,most clear-sighted
clement,more clement,most clement
clever,cleverer/more clever,cleverest/most clever
clichéd,more clichéd,most clichéd
climactic,more climactic,most climactic
clingy,clingier,clingiest
clipped,more clipped,most clipped
cloddish,more cloddish,most cloddish
cloistered,more cloistered,most cloistered
close,closer,closest
closed-minded,more closed-minded,most closed-minded
closed-mouthed,more closed-mouthed,most closed-mouthed
close-fitting,more close-fitting,most close-fitting
close-knit,more close-knit,most close-knit
close-minded,more close-minded,most close-minded
close-mouthed,more close-mouthed,most close-mouthed
close-set,more close-set,most close-set
cloudy,cloudier/more cloudy,cloudiest/most cloudy
clownish,more clownish,most clownish
cloying,more cloying,most cloying
clubby,clubbier,clubbiest
clueless,more clueless,most clueless
clumpy,clumpier/more clumpy,clumpiest/most clumpy
clumsy,clumsier/more clumsy,clumsiest/most clumsy
clunky,clunkier/more clunky,clunkiest/most clunky
clutch,more clutch,most clutch
cluttered,more cluttered,most cluttered
coachable,more coachable,most coachable
coarse,coarser/more coarse,coarsest/most coarse
cock-a-hoop,more cock-a-hoop,most cock-a-hoop
#,cockamamy,['cock·a·ma·mie'],[],[],more ~; most ~
cockeyed,more cockeyed,most cockeyed
cocksure,more cocksure,most cocksure
cocky,cockier/more cocky,cockiest/most cocky
coercive,more coercive,most coercive
cogent,more cogent,most cogent
#,cognizant,['cog·ni·sant'],[],[],not used before a noun|more ~; most ~
coherent,more coherent,most coherent
cohesive,more cohesive,most cohesive
coincidental,more coincidental,most coincidental
cold,colder,coldest
cold-eyed,more cold-eyed,most cold-eyed
coldhearted,more coldhearted,most coldhearted
colicky,more colicky,most colicky
#,collectible,['col·lect·able'],[],[],more ~; most ~
colloquial,more colloquial,most colloquial
combative,more combative,most combative
combustible,more combustible,most combustible
comedic,more comedic,most comedic
comely,comelier/more comely,comeest/most comely
comfortable,more comfortable,most comfortable
comforting,more comforting,most comforting
comfy,comfier/more comfy,comest/most comfy
comical,more comical,most comical
commendable,more commendable,most commendable
committed,more committed,most committed
commodious,more commodious,most commodious
commonplace,more commonplace,most commonplace
compact,more compact,most compact
companionable,more companionable,most companionable
comparable,more comparable,most comparable
compartmentalized,more compartmentalized,most compartmentalized
compassionate,more compassionate,most compassionate
compatible,more compatible,most compatible
compelling,more compelling,most compelling
competent,more competent,most competent
competitive,more competitive,most competitive
complacent,more complacent,most complacent
complaisant,more complaisant,most complaisant
complementary,more complementary,most complementary
complete,completer/more complete,comest/most complete
complicated,more complicated,most complicated
composed,more composed,most composed
comprehensible,more comprehensible,most comprehensible
comprehensive,more comprehensive,most comprehensive
compressible,more compressible,most compressible
compromising,more compromising,most compromising
compulsive,more compulsive,most compulsive
concave,more concave,most concave
conceited,more conceited,most conceited
concentrated,more concentrated,most concentrated
concerned,more concerned,most concerned
conciliatory,more conciliatory,most conciliatory
concise,more concise,most concise
conclusive,more conclusive,most conclusive
condescending,more condescending,most condescending
conducive,more conducive,most conducive
conductive,more conductive,most conductive
confessional,more confessional,most confessional
confident,more confident,most confident
confiding,more confiding,most confiding
confined,more confined,most confined
confining,more confining,most confining
confirmable,more confirmable,most confirmable
conflicted,more conflicted,most conflicted
confrontational,more confrontational,most confrontational
confused,more confused,most confused
confusing,more confusing,most confusing
congenial,more congenial,most congenial
congested,more congested,most congested
congratulatory,more congratulatory,most congratulatory
congruent,more congruent,most congruent
conical,more conical,most conical
conjectural,more conjectural,most conjectural
conjugal,more conjugal,most conjugal
connectable,more connectable,most connectable
conniving,more conniving,most conniving
conscientious,more conscientious,most conscientious
considerable,more considerable,most considerable
considerate,more considerate,most considerate
consistent,more consistent,most consistent
consolable,more consolable,most consolable
consonant,more consonant,most consonant
conspicuous,more conspicuous,most conspicuous
constrained,more constrained,most constrained
constructive,more constructive,most constructive
contagious,more contagious,most contagious
contaminated,more contaminated,most contaminated
contemptible,more contemptible,most contemptible
contemptuous,more contemptuous,most contemptuous
content,more content,most content
contented,more contented,most contented
contentious,more contentious,most contentious
contorted,more contorted,most contorted
contradictory,more contradictory,most contradictory
contrasting,more contrasting,most contrasting
contrasting,more contrasting,most contrasting
contrastive,more contrastive,most contrastive
contrite,more contrite,most contrite
contrived,more contrived,most contrived
controllable,more controllable,most controllable
controlling,more controlling,most controlling
controversial,more controversial,most controversial
convenient,more convenient,most convenient
conversant,more conversant,most conversant
conversational,more conversational,most conversational
convex,more convex,most convex
convinced,more convinced,most convinced
convincing,more convincing,most convincing
convivial,more convivial,most convivial
convoluted,more convoluted,most convoluted
cool,cooler,coolest
coolheaded,more coolheaded,most coolheaded
cooperative,more cooperative,most cooperative
coordinated,more coordinated,most coordinated
copper-bottomed,more copper-bottomed,most copper-bottomed
coppery,more coppery,most coppery
coquettish,more coquettish,most coquettish
cordial,more cordial,most cordial
cornball,more cornball,most cornball
corny,cornier,corniest
corporeal,more corporeal,most corporeal
corpulent,more corpulent,most corpulent
corrosive,more corrosive,most corrosive
corrupt,more corrupt,most corrupt
corruptible,more corruptible,most corruptible
cosmopolitan,more cosmopolitan,most cosmopolitan
cost-effective,more cost-effective,most cost-effective
cost-efficient,more cost-efficient,most cost-efficient
costly,costlier/more costly,costliest/most costly
cottony,more cottony,most cottony
counterintuitive,more counterintuitive,most counterintuitive
counterproductive,more counterproductive,most counterproductive
countrified,more countrified,most countrified
courageous,more courageous,most courageous
courteous,more courteous,most courteous
courtly,courtlier/more courtly,courtliest/most courtly
covert,more covert,most covert
covetous,more covetous,most covetous
cowardly,more cowardly,most cowardly
coy,more coy,most coy
crabbed,more crabbed,most crabbed
crabby,crabbier/more crabby,crabbiest/most crabby
crackbrained,more crackbrained,most crackbrained
crackly,more crackly,most crackly
craftsmanlike,more craftsmanlike,most craftsmanlike
crafty,craftier/more crafty,craftiest/most crafty
craggy,craggier,est
cramped,more cramped,most cramped
cranky,crankier/more cranky,crankiest/most cranky
crappy,crappier,crappiest
crass,crasser/more crass,crassest/most crass
craven,more craven,most craven
crazed,more crazed,most crazed
crazy,crazier/more crazy,craziest/most crazy
creaky,creakier/more creaky,creakiest/most creaky
creamy,creamier/more creamy,creamiest/most creamy
credible,more credible,most credible
creditable,more creditable,most creditable
creditworthy,more creditworthy,most creditworthy
credulous,more credulous,most credulous
creepy,creepier/more creepy,creepiest/most creepy
crestfallen,more crestfallen,most crestfallen
cretinous,more cretinous,most cretinous
crinkly,crinklier/more crinkly,crinkliest/most crinkly
crisp,crisper,crispest
crispy,crispier/more crispy,crispiest/most crispy
crocked,more crocked,most crocked
crooked,more crooked,most crooked
cross,crosser,crossest
cross-cultural,more cross-cultural,most cross-cultural
cross-eyed,more cross-eyed,most cross-eyed
crotchety,more crotchety,most crotchety
crowded,more crowded,most crowded
crucial,more crucial,most crucial
cruddy,cruddier,cruddiest
crude,cruder/more crude,crudest/most crude
cruel,crueler/crueller/more cruel,cruelest/cruellest/most cruel
crumbly,crumblier,crumbliest
crummy,crummier,crummiest
crunchy,crunchier,crunchiest
crusty,crustier,crustiest
cryptic,more cryptic,most cryptic
cubic,more cubic,most cubic
cuckoo,more cuckoo,most cuckoo
cuddly,cuddlier,cuddliest
culpable,more culpable,most culpable
cultural,more cultural,most cultural
cumbersome,more cumbersome,most cumbersome
cumulative,more cumulative,most cumulative
cunning,more cunning,most cunning
curable,more curable,most curable
curative,more curative,most curative
curious,more curious,most curious
curly,curlier/more curly,curliest/most curly
curmudgeonly,more curmudgeonly,most curmudgeonly
current,more current,most current
cursory,more cursory,most cursory
curt,curter/more curt,est/most curt
curvaceous,more curvaceous,most curvaceous
curved,more curved,most curved
curvy,curvier/more curvy,curviest/most curvy
cushy,cushier/more cushy,cushiest/most cushy
custardy,more custardy,most custardy
customizable/customisable,more customizable/more customisable,most customizable/most customisable
#,cut-and-dried,['cut-and-dry'],[],[],more ~; most ~
cute,cuter,cutest
cutesy,cutesier/more cutesy,cutesiest/most cutesy
cutthroat,more cutthroat,most cutthroat
cutting,more cutting,most cutting
cutting-edge,more cutting-edge,most cutting-edge
cyclic/cyclical,more cyclic/more cyclical,most cyclic/most cyclical
cylindrical,more cylindrical,most cylindrical
cynical,more cynical,most cynical
daffy,daffier/more daffy,daffiest/most daffy
daft,dafter/more daft,daftest/most daft
dainty,daintier/more dainty,daintiest/most dainty
damaging,more damaging,most damaging
damnable,more damnable,most damnable
damning,more damning,most damning
damp,damper/more damp,dampest/most damp
danceable,more danceable,most danceable
dandy,dandier,dandiest
dangerous,more dangerous,most dangerous
dank,danker,dankest
dapper,more dapper,most dapper
#,dappled,['dap·ple'],[],[],more ~; most ~
daring,more daring,most daring
dark,darker/more dark,darkest/most dark
darkish,more darkish,most darkish
darling,more darling,most darling
dashing,more dashing,most dashing
dastardly,more dastardly,most dastardly
dated,more dated,most dated
daunting,more daunting,most daunting
dauntless,more dauntless,most dauntless
dazed,more dazed,most dazed
dazzling,more dazzling,most dazzling
deadening,more deadening,most deadening
deadly,deadlier/more deadly,deadliest/most deadly
deadpan,more deadpan,most deadpan
deaf,more deaf,most deaf
deafening,more deafening,most deafening
dear,dearer/more dear,dearest/most dear
debased,more debased,most debased
debasing,more debasing,most debasing
debatable,more debatable,most debatable
debauched,more debauched,most debauched
debilitating,more debilitating,most debilitating
debonair,more debonair,most debonair
decadent,more decadent,most decadent
deceitful,more deceitful,most deceitful
deceiving,more deceiving,most deceiving
decent,more decent,most decent
deceptive,more deceptive,most deceptive
decipherable,more decipherable,most decipherable
decisive,more decisive,most decisive
declamatory,more declamatory,most declamatory
decorative,more decorative,most decorative
decorous,more decorous,most decorous
decrepit,more decrepit,most decrepit
deep,deeper,deepest
deep-rooted,more deep-rooted,most deep-rooted
deep-seated,more deep-seated,most deep-seated
defamatory,more defamatory,most defamatory
defeatist,more defeatist,most defeatist
defective,more defective,most defective
defensible,more defensible,most defensible
deferential,more deferential,most deferential
defiant,more defiant,most defiant
deficient,more deficient,most deficient
definable,more definable,most definable
defined,more defined,most defined
definite,more definite,most definite
definitive,more definitive,most definitive
deflationary,more deflationary,most deflationary
deformed,more deformed,most deformed
deft,defter/more deft,deftest/most deft
defunct,more defunct,most defunct
degenerate,more degenerate,most degenerate
degenerative,more degenerative,most degenerative
degradable,more degradable,most degradable
degrading,more degrading,most degrading
dehydrated,more dehydrated,most dehydrated
dejected,more dejected,most dejected
delayed,more delayed,most delayed
delectable,more delectable,most delectable
deleterious,more deleterious,most deleterious
deliberate,more deliberate,most deliberate
deliberative,more deliberative,most deliberative
delicate,more delicate,most delicate
delicious,more delicious,most delicious
delighted,more delighted,most delighted
delightful,more delightful,most delightful
delirious,more delirious,most delirious
delish,more delish,most delish
deluded,more deluded,most deluded
delusional,more delusional,most delusional
deluxe,more deluxe,most deluxe
demagogic,more demagogic,most demagogic
demanding,more demanding,most demanding
