abashed,more abashed,most abashed
aberrant,more aberrant,most aberrant
abhorrent,more abhorrent,most abhorrent
abiding,more abiding,most abiding
abject,more abject,most abject
able-bodied,more able-bodied,most able-bodied
abnormal,more abnormal,most abnormal
abominable,more abominable,most abominable
aboveboard,more aboveboard,most aboveboard
abrasive,more abrasive,most abrasive
abrupt,more abrupt,most abrupt
absorbable,more absorbable,most absorbable
absorbent,more absorbent,most absorbent
absorbing,more absorbing,most absorbing
abstemious,more abstemious,most abstemious
abstract,more abstract,most abstract
abstracted,more abstracted,most abstracted
abstruse,more abstruse,most abstruse
absurd,more absurd,most absurd
abundant,more abundant,most abundant
abusive,more abusive,most abusive
abysmal,more abysmal,most abysmal
accented,more accented,most accented
acceptable,more acceptable,most acceptable
accessible,more accessible,most accessible
accident-prone,more accident-prone,most accident-prone
acclaimed,more acclaimed,most acclaimed
accommodating,more accommodating,most accommodating
accomplishable,more accomplishable,most accomplishable
accomplished,more accomplished,most accomplished
accurate,more accurate,most accurate
accusatory,more accusatory,most accusatory
accusing,more accusing,most accusing
accustomed,more accustomed,most accustomed
acerbic,more acerbic,most acerbic
achievable,more achievable,most achievable
achy,achier,achiest
acid,more acid,most acid
acidic,more acidic,most acidic
acquiescent,more acquiescent,most acquiescent
acrid,more acrid,most acrid
acrimonious,more acrimonious,most acrimonious
acrobatic,more acrobatic,most acrobatic
action-packed,more action-packed,most action-packed
acute,acuter/more acute,acutest/most acute
adamant,more adamant,most adamant
adaptable,more adaptable,most adaptable
addicted,more addicted,most addicted
addictive,more addictive,most addictive
adept,more adept,most adept
adequate,more adequate,most adequate
adhesive,more adhesive,most adhesive
admirable,more admirable,most admirable
admiring,more admiring,most admiring
adorable,more adorable,most adorable
adroit,more adroit,most adroit
advanced,more advanced,most advanced
advantaged,more advantaged,most advantaged
advantageous,more advantageous,most advantageous
adventuresome,more adventuresome,most adventuresome
adventurous,more adventurous,most adventurous
adversarial,more adversarial,most adversarial
adverse,more adverse,most adverse
advisable,more advisable,most advisable
affable,more affable,most affable
affecting,more affecting,most affecting
affectionate,more affectionate,most affectionate
affluent,more affluent,most affluent
affordable,more affordable,most affordable
aggravating,more aggravating,most aggravating
aggressive,more aggressive,most aggressive
aghast,more aghast,most aghast
agile,more agile,most agile
agitated,more agitated,most agitated
#,agonized,['agonised'],[],[],more ~; most ~
#,agonizing,['agonising'],[],[],more ~; most ~
agrarian,more agrarian,most agrarian
agreeable,more agreeable,most agreeable
airsick,more airsick,most airsick
airworthy,more airworthy,most airworthy
airy,airier,airiest
