intention	mechanism	code
Unintentional	Cut/Pierce	W25X
Unintentional	Cut/Pierce	W260X
Unintentional	Cut/Pierce	W261X
Unintentional	Cut/Pierce	W262X
Unintentional	Cut/Pierce	W268X
Unintentional	Cut/Pierce	W269X
Unintentional	Cut/Pierce	W270X
Unintentional	Cut/Pierce	W271X
Unintentional	Cut/Pierce	W272X
Unintentional	Cut/Pierce	W273X
Unintentional	Cut/Pierce	W274X
Unintentional	Cut/Pierce	W275X
Unintentional	Cut/Pierce	W278X
Unintentional	Cut/Pierce	W28X
Unintentional	Cut/Pierce	W290X
Unintentional	Cut/Pierce	W291X
Unintentional	Cut/Pierce	W292X
Unintentional	Cut/Pierce	W293X
Unintentional	Cut/Pierce	W294X
Unintentional	Cut/Pierce	W298X
Unintentional	Cut/Pierce	W450X
Unintentional	Cut/Pierce	W451X
Unintentional	Cut/Pierce	W452X
Unintentional	Cut/Pierce	W458X
Unintentional	Cut/Pierce	W460X
Unintentional	Cut/Pierce	W461X
Unintentional	Drowning/Submersion	W16011
Unintentional	Drowning/Submersion	W16021
Unintentional	Drowning/Submersion	W16031
Unintentional	Drowning/Submersion	W16111
Unintentional	Drowning/Submersion	W16121
Unintentional	Drowning/Submersion	W16131
Unintentional	Drowning/Submersion	W16211
Unintentional	Drowning/Submersion	W16221
Unintentional	Drowning/Submersion	W16311
Unintentional	Drowning/Submersion	W16321
Unintentional	Drowning/Submersion	W16331
Unintentional	Drowning/Submersion	W1641X
Unintentional	Drowning/Submersion	W16511
Unintentional	Drowning/Submersion	W16521
Unintentional	Drowning/Submersion	W16531
Unintentional	Drowning/Submersion	W16611
Unintentional	Drowning/Submersion	W16621
Unintentional	Drowning/Submersion	W16711
Unintentional	Drowning/Submersion	W16721
Unintentional	Drowning/Submersion	W16811
Unintentional	Drowning/Submersion	W16821
Unintentional	Drowning/Submersion	W16831
Unintentional	Drowning/Submersion	W1691X
Unintentional	Drowning/Submersion	W22041
Unintentional	Drowning/Submersion	W65X
Unintentional	Drowning/Submersion	W67X
Unintentional	Drowning/Submersion	W69X
Unintentional	Drowning/Submersion	W73X
Unintentional	Drowning/Submersion	W74X
Unintentional	Drowning/Submersion	V9000X
Unintentional	Drowning/Submersion	V9001X
Unintentional	Drowning/Submersion	V9002X
Unintentional	Drowning/Submersion	V9003X
Unintentional	Drowning/Submersion	V9004X
