intention	mechanism	code
Unintentional	"Transport, other"	E8009
Unintentional	"Transport, other"	E8100
Unintentional	"Transport, other"	E8101
Unintentional	"Transport, other"	E8108
Unintentional	"Transport, other"	E8109
Unintentional	"Transport, other"	E8200
Unintentional	"Transport, other"	E8201
Unintentional	"Transport, other"	E8208
Unintentional	"Transport, other"	E8209
Unintentional	"Transport, other"	E8300
Unintentional	"Transport, other"	E8301
Unintentional	"Transport, other"	E8308
Unintentional	"Transport, other"	E8309
Unintentional	"Transport, other"	E8400
Unintentional	"Transport, other"	E8401
Unintentional	"Transport, other"	E8408
Unintentional	"Transport, other"	E8409
Unintentional	"Transport, other"	E8500
Unintentional	"Transport, other"	E8501
Unintentional	"Transport, other"	E8508
Unintentional	"Transport, other"	E8509
Unintentional	"Transport, other"	E8600
Unintentional	"Transport, other"	E8601
Unintentional	"Transport, other"	E8608
Unintentional	"Transport, other"	E8609
Unintentional	"Transport, other"	E8700
Unintentional	"Transport, other"	E8701
Unintentional	"Transport, other"	E8708
Unintentional	"Transport, other"	E8709
Unintentional	"Transport, other"	E8200
Unintentional	"Transport, other"	E8201
Unintentional	"Transport, other"	E8202
Unintentional	"Transport, other"	E8203
Unintentional	"Transport, other"	E8204
Unintentional	"Transport, other"	E8205
Unintentional	"Transport, other"	E8208
Unintentional	"Transport, other"	E8209
Unintentional	"Transport, other"	E8210
Unintentional	"Transport, other"	E8211
Unintentional	"Transport, other"	E8212
Unintentional	"Transport, other"	E8213
Unintentional	"Transport, other"	E8214
Unintentional	"Transport, other"	E8215
Unintentional	"Transport, other"	E8218
Unintentional	"Transport, other"	E8219
Unintentional	"Transport, other"	E8220
Unintentional	"Transport, other"	E8221
Unintentional	"Transport, other"	E8222
Unintentional	"Transport, other"	E8223
Unintentional	"Transport, other"	E8224
Unintentional	"Transport, other"	E8225
Unintentional	"Transport, other"	E8228
Unintentional	"Transport, other"	E8229
Unintentional	"Transport, other"	E8230
Unintentional	"Transport, other"	E8231
Unintentional	"Transport, other"	E8232
Unintentional	"Transport, other"	E8233
Unintentional	"Transport, other"	E8234
Unintentional	"Transport, other"	E8235
Unintentional	"Transport, other"	E8238
Unintentional	"Transport, other"	E8239
Unintentional	"Transport, other"	E8240
Unintentional	"Transport, other"	E8241
Unintentional	"Transport, other"	E8242
Unintentional	"Transport, other"	E8243
Unintentional	"Transport, other"	E8244
Unintentional	"Transport, other"	E8245
Unintentional	"Transport, other"	E8248
Unintentional	"Transport, other"	E8249
Unintentional	"Transport, other"	E8250
Unintentional	"Transport, other"	E8251
Unintentional	"Transport, other"	E8252
Unintentional	"Transport, other"	E8253
Unintentional	"Transport, other"	E8254
Unintentional	"Transport, other"	E8255
Unintentional	"Transport, other"	E8258
Unintentional	"Transport, other"	E8259
Unintentional	"Transport, other"	E8262
Unintentional	"Transport, other"	E8263
Unintentional	"Transport, other"	E8264
Unintentional	"Transport, other"	E8265
Unintentional	"Transport, other"	E8266
Unintentional	"Transport, other"	E8267
Unintentional	"Transport, other"	E8268
Unintentional	"Transport, other"	E8272
Unintentional	"Transport, other"	E8273
Unintentional	"Transport, other"	E8274
Unintentional	"Transport, other"	E8275
Unintentional	"Transport, other"	E8276
Unintentional	"Transport, other"	E8277
Unintentional	"Transport, other"	E8278
Unintentional	"Transport, other"	E8279
Unintentional	"Transport, other"	E8282
Unintentional	"Transport, other"	E8283
Unintentional	"Transport, other"	E8284
Unintentional	"Transport, other"	E8285
Unintentional	"Transport, other"	E8286
Unintentional	"Transport, other"	E8287
Unintentional	"Transport, other"	E8288
Unintentional	"Transport, other"	E8289
Unintentional	"Transport, other"	E8292
Unintentional	"Transport, other"	E8293
Unintentional	"Transport, other"	E8294
Unintentional	"Transport, other"	E8295
Unintentional	"Transport, other"	E8296
Unintentional	"Transport, other"	E8297
Unintentional	"Transport, other"	E8298
Unintentional	"Transport, other"	E8299
Unintentional	"Transport, other"	E831X
Unintentional	"Transport, other"	E833X
Unintentional	"Transport, other"	E834X
Unintentional	"Transport, other"	E835X
Unintentional	"Transport, other"	E836X
Unintentional	"Transport, other"	E837X
Unintentional	"Transport, other"	E838X
Unintentional	"Transport, other"	E839X
Unintentional	"Transport, other"	E840X
Unintentional	"Transport, other"	E841X
Unintentional	"Transport, other"	E842X
Unintentional	"Transport, other"	E843X
Unintentional	"Transport, other"	E844X
Unintentional	"Transport, other"	E845X
Unintentional	Natural or environmental	E900X
Unintentional	Natural or environmental	E901X
Unintentional	Natural or environmental	E902X
Unintentional	Natural or environmental	E903X
Unintentional	Natural or environmental	E904X
Unintentional	Natural or environmental	E905X
Unintentional	Natural or environmental	E906X
Unintentional	Natural or environmental	E907X
Unintentional	Natural or environmental	E908X
Unintentional	Natural or environmental	E909X
Unintentional	Natural or environmental	E9280
Unintentional	Natural or environmental	E9281
Unintentional	Natural or environmental	E9282
Unintentional	Bites and stings	E9050
Unintentional	Bites and stings	E9051
Unintentional	Bites and stings	E9052
Unintentional	Bites and stings	E9053
Unintentional	Bites and stings	E9054
Unintentional	Bites and stings	E9055
Unintentional	Bites and stings	E9056
Unintentional	Bites and stings	E9059
Unintentional	Bites and stings	E9060
Unintentional	Bites and stings	E9061
Unintentional	Bites and stings	E9062
Unintentional	Bites and stings	E9063
Unintentional	Bites and stings	E9064
Unintentional	Bites and stings	E9069
Unintentional	Overexertion	E927
Unintentional	Poisoning	E85X
Unintentional	Poisoning	E86X
Unintentional	Struck by or against	E916X
Unintentional	Struck by or against	E917X
Unintentional	Suffocation	E911X
Unintentional	Suffocation	E912X
Unintentional	Suffocation	E913X
Unintentional	"Other specified, classifiable"	E846
Unintentional	"Other specified, classifiable"	E847
Unintentional	"Other specified, classifiable"	E848
Unintentional	"Other specified, classifiable"	E914
Unintentional	"Other specified, classifiable"	E915
Unintentional	"Other specified, classifiable"	E918
Unintentional	"Other specified, classifiable"	E921X
Unintentional	"Other specified, classifiable"	E923X
Unintentional	"Other specified, classifiable"	E925X
Unintentional	"Other specified, classifiable"	E926X
Unintentional	"Other specified, classifiable"	E9290
Unintentional	"Other specified, classifiable"	E9291
Unintentional	"Other specified, classifiable"	E9292
Unintentional	"Other specified, classifiable"	E9293
Unintentional	"Other specified, classifiable"	E9294
Unintentional	"Other specified, classifiable"	E9295
Unintentional	"Other specified, not elsewhere classifiable"	E9288
Unintentional	"Other specified, not elsewhere classifiable"	E9298
Unintentional	Unspecified	E887
Unintentional	Unspecified	E9289
Unintentional	Unspecified	E9299
Suicide	Cut or pierce	E956
Suicide	Drowning or submersion	E954
Suicide	Fall	E957X
Suicide	Fire or flame	E9581
Suicide	Hot object or substance	E9582
Suicide	Hot object or substance	E9587
Suicide	Firearm	E9550
Suicide	Firearm	E9551
Suicide	Firearm	E9552
Suicide	Firearm	E9553
Suicide	Firearm	E9554
Suicide	MV traffic	E9585
Suicide	"Transport, other"	E9586
Suicide	Natural or environmental	E9583
Suicide	Poisoning	E950X
Suicide	Poisoning	E951X
Suicide	Poisoning	E952X
Suicide	Suffocation	E953X
Suicide	"Other specified, classifiable"	E9555
Suicide	"Other specified, classifiable"	E9559
Suicide	"Other specified, classifiable"	E9580
Suicide	"Other specified, classifiable"	E9584
Suicide	"Other specified, not elsewhere classifiable"	E9588
Suicide	"Other specified, not elsewhere classifiable"	E959
Suicide	Unspecified	E9589
Homicide	Cut or pierce	E966
Homicide	Drowning or submersion	E964
Homicide	Fall	E9681
Homicide	Fire or burn	E961
Homicide	Fire or burn	E9680
Homicide	Fire or burn	E9683
Homicide	Fire or flame	E9680
Homicide	Hot object or substance	E961
Homicide	Hot object or substance	E9683
Homicide	Firearm	E9650
Homicide	Firearm	E9651
Homicide	Firearm	E9652
Homicide	Firearm	E9653
Homicide	Firearm	E9654
Homicide	Poisoning	E962X
Homicide	Struck by or against	E9600
Homicide	Struck by or against	E9682
Homicide	Suffocation	E963
Homicide	"Other specified, classifiable"	E9601
Homicide	"Other specified, classifiable"	E9655
Homicide	"Other specified, classifiable"	E9656
Homicide	"Other specified, classifiable"	E9657
Homicide	"Other specified, classifiable"	E9658
Homicide	"Other specified, classifiable"	E9659
Homicide	"Other specified, classifiable"	E967X
Homicide	"Other specified, classifiable"	E9684
Homicide	"Other specified, not elsewhere classifiable"	E9688
Homicide	"Other specified, not elsewhere classifiable"	E969
Homicide	Unspecified	E9689
Undetermined	Cut or pierce	E986
Undetermined	Drowning or submersion	E984
Undetermined	Fall	E987X
Undetermined	Fire or burn	E9881
Undetermined	Fire or burn	E9882
Undetermined	Fire or burn	E9887
Undetermined	Fire or flame	E9881
Undetermined	Hot object or substance	E9882
Undetermined	Hot object or substance	E9887
Undetermined	Firearm	E9850
Undetermined	Firearm	E9851
Undetermined	Firearm	E9852
Undetermined	Firearm	E9853
Undetermined	Firearm	E9854
Undetermined	MV traffic	E9885
Undetermined	"Transport, other"	E9886
Undetermined	Natural or environmental	E9883
Undetermined	Poisoning	E980X
Undetermined	Poisoning	E981X
Undetermined	Poisoning	E982X
Undetermined	Suffocation	E0983X
Undetermined	"Other specified, classifiable"	E9855
Undetermined	"Other specified, classifiable"	E9880
Undetermined	"Other specified, classifiable"	E9884
Undetermined	"Other specified, not elsewhere classifiable"	E9888
Undetermined	"Other specified, not elsewhere classifiable"	E989
Undetermined	Unspecified	E9889
Other	Cut or pierce	E974
Other	Firearm	E970
Other	Poisoning	E972
Other	Struck by or against	E973
Other	Struck by or against	E975
Other	"Other specified, classifiable"	E97
Other	"Other specified, classifiable"	E978
Other	"Other specified, classifiable"	E990
Other	"Other specified, classifiable"	E991
Other	"Other specified, classifiable"	E992
Other	"Other specified, classifiable"	E993
Other	"Other specified, classifiable"	E994
Other	"Other specified, classifiable"	E996
Other	"Other specified, classifiable"	E9970
Other	"Other specified, classifiable"	E9971
Other	"Other specified, classifiable"	E9972
Other	"Other specified, not elsewhere classifiable"	E977
Other	"Other specified, not elsewhere classifiable"	E995
Other	"Other specified, not elsewhere classifiable"	E9978
Other	"Other specified, not elsewhere classifiable"	E998
Other	"Other specified, not elsewhere classifiable"	E999
Other	Unspecified	E976
Other	Unspecified	E9979
