intention	mechanism	code
Unintentional	Cut or pierce	E9200
Unintentional	Cut or pierce	E9201
Unintentional	Cut or pierce	E9202
Unintentional	Cut or pierce	E9203
Unintentional	Cut or pierce	E9204
Unintentional	Cut or pierce	E9205
Unintentional	Cut or pierce	E9206
Unintentional	Cut or pierce	E9207
Unintentional	Cut or pierce	E9208
Unintentional	Cut or pierce	E9209
Unintentional	Drowning or submersion	E830X
Unintentional	Drowning or submersion	E832X
Unintentional	Drowning or submersion	E910X
Unintentional	Fall	E880X
Unintentional	Fall	E881X
Unintentional	Fall	E882X
Unintentional	Fall	E883X
Unintentional	Fall	E884X
Unintentional	Fall	E885X
Unintentional	Fall	E886X
Unintentional	Fall	E888
Unintentional	Fire or burn	E924X
Unintentional	Fire or flame	E89X
Unintentional	Hot object or substance	E924X
Unintentional	Firearm	E922X
Unintentional	Machinery	E919X
Unintentional	MV traffic	E810X
Unintentional	MV traffic	E811X
Unintentional	MV traffic	E812X
Unintentional	MV traffic	E813X
Unintentional	MV traffic	E814X
Unintentional	MV traffic	E815X
Unintentional	MV traffic	E816X
Unintentional	MV traffic	E817X
Unintentional	MV traffic	E818X
Unintentional	MV traffic	E819X
Unintentional	MV traffic/Occupant	E81X0
Unintentional	MV traffic/Occupant	E81X1
Unintentional	MV traffic/Motorcyclist	E81X2
Unintentional	MV traffic/Motorcyclist	E81X3
Unintentional	MV traffic/Pedal cyclist	E81X6
Unintentional	MV traffic/Pedestrian	E81X7
Unintentional	MV traffic/Unspecified	E81X9
Unintentional	"Pedal cyclist, other"	E8003
Unintentional	"Pedal cyclist, other"	E8013
Unintentional	"Pedal cyclist, other"	E8023
Unintentional	"Pedal cyclist, other"	E8033
Unintentional	"Pedal cyclist, other"	E8043
Unintentional	"Pedal cyclist, other"	E8053
Unintentional	"Pedal cyclist, other"	E8063
Unintentional	"Pedal cyclist, other"	E8073
Unintentional	"Pedal cyclist, other"	E8206
Unintentional	"Pedal cyclist, other"	E8216
Unintentional	"Pedal cyclist, other"	E8226
Unintentional	"Pedal cyclist, other"	E8236
Unintentional	"Pedal cyclist, other"	E8246
Unintentional	"Pedal cyclist, other"	E8256
Unintentional	"Pedal cyclist, other"	E8261
Unintentional	"Pedal cyclist, other"	E8269
Unintentional	"Pedal cyclist, other"	E8271
Unintentional	"Pedal cyclist, other"	E8281
Unintentional	"Pedal cyclist, other"	E8291
Unintentional	"Pedestrian, other"	E8002
Unintentional	"Pedestrian, other"	E8012
Unintentional	"Pedestrian, other"	E8022
Unintentional	"Pedestrian, other"	E8032
Unintentional	"Pedestrian, other"	E8042
Unintentional	"Pedestrian, other"	E8052
Unintentional	"Pedestrian, other"	E8062
Unintentional	"Pedestrian, other"	E8072
Unintentional	"Pedestrian, other"	E8207
Unintentional	"Pedestrian, other"	E8217
Unintentional	"Pedestrian, other"	E8227
Unintentional	"Pedestrian, other"	E8237
Unintentional	"Pedestrian, other"	E8247
Unintentional	"Pedestrian, other"	E8257
Unintentional	"Pedestrian, other"	E8260
Unintentional	"Pedestrian, other"	E8270
Unintentional	"Pedestrian, other"	E8280
Unintentional	"Pedestrian, other"	E8290
Unintentional	"Transport, other"	E8000
Unintentional	"Transport, other"	E8001
Unintentional	"Transport, other"	E8008
