ID,UID,WMOID,Name,Latitude,Longitude,Elevation,Timezone,Address,City,Region,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
BAH,7,,PK_Solar_Bahawalpur_QASP,29.32542,71.81877,120,UTC+05:00,Quaid-e-Azam Solar Park Road,,Punjab,Pakistan,,,,BWh,,1,,Quaid-e-Azam Solar Park,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,2014-01-10T00:00:00,,,,
CHI,12,,ZMB_Solar_Lusaka_Chilanga,-15.54831,28.24822,1224,UTC+02:00,,,Lusaka Province,Zambia,,,,Cwa,,1,,Zambia Meteorological Department,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,2015-11-21T00:00:00,,,,
CHO,13,,ZMB_Solar_Choma_Mochipapa,-16.83822,27.07046,1282,UTC+02:00,,,Southern Province,Zambia,,,,Cwa,,1,,Zambia Meteorological Department,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,2015-05-11T00:00:00,,,,
DAR,1,,TZ_Solar_DaresSalaam_UDSM,-6.781101,39.2039,190,UTC+03:00,University Road,Dar es Salaam,Coastal Zone,Tanzania,,,,Aw,,1,,University of Dar es Salaam,https://energydata.info/dataset/tanzania-solar-radiation-measurement-data,2015-05-21T00:00:00,,,,
HYD,5,,PK_Solar_Hyderabad_MUET,25.4134,68.2595,60,UTC+05:00,,Jamshoro,Sindh,Pakistan,,,,BWh,,1,,Mehran University of Engineering and Technology,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,2015-04-21T00:00:00,,,,
ISL,3,,PK_Solar_Islamabad_NUST,33.64191,72.9838,500,UTC+05:00,Innovation Drive,Islamabad,Islamabad Capital Territory,Pakistan,,,,Cwa,,1,,National University of Science and Technology,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,2014-01-10T00:00:00,,,,
KAO,14,,ZMB_Solar_Kaoma_Longe,-14.83966,24.93186,1167,UTC+02:00,,,Western Province,Zambia,,,,Cwa,,1,,Zambia Agriculture Research Institute,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,2015-11-11T00:00:00,,,,
KAR,8,,PK_Solar_Karachi_NEDUET,24.9334,67.1116,40,UTC+05:00,University Road,Karachi,Sindh,Pakistan,,,,BWh,,1,,NED University of Engineering and Technology,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,2015-05-22T00:00:00,,,,
KAS,15,,ZMB_Solar_Kasama_Misamfu,-10.17165,31.22558,1379,UTC+02:00,,Kasama,Northern Province,Zambia,,,,Cwa,,1,,Zambia Meteorological Department,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,2015-11-18T00:00:00,,,,
KHU,10,,PK_Solar_Khuzdar_BUET,27.8178,66.6294,1260,UTC+05:00,Storm Water,Khuzdar,Balochistan,Pakistan,,,,BSh,,1,,Balochistan University of Engineering & Technology Khuzdar,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,2015-09-22T00:00:00,,,,
LAH,6,,PK_Solar_Lahore_UET,31.69458,74.2441,220,UTC+05:00,M2 Link Road,Kala Shah Kaku,Punjab,Pakistan,,,,BSh,,1,,University of Engineering and Technology,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,2014-01-10T00:00:00,,,,
LUS,11,,ZMB_Solar_Lusaka_UNZA,-15.39465,28.33711,1262,UTC+02:00,"32379, Great East Road",Lusaka,Lusaka Province,Zambia,,,,Cwa,,1,,"University of Zambia, School of Agriculture",https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,2015-08-11T00:00:00,,,,
MUL,2,,PK_Solar_Multan_MSNUET,30.1654,71.4978,95,UTC+05:00,,Multan,Punjab,Pakistan,,,,BWh,,1,,M. Nawaz Sharif University of Engineering and Technology,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,2014-01-10T00:00:00,,,,
MUT,16,,ZMB_Solar_Solwezi_Mutanda,-12.4236,26.2153,1317,UTC+02:00,,,North-Western Province,Zambia,,,,Cwa,,1,,Zambia Agriculture Research Institute,https://energydata.info/dataset/zambia-solar-radiation-measurement-data-0,2015-11-21T00:00:00,,,,
PES,4,,PK_Solar_Peshawar_UET,34.0017,71.4854,370,UTC+05:00,Road 2,University Town,Khyber Pakhtunkhwa,Pakistan,,,,BSh,,1,,University of Engineering and Technology ,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,2015-10-04T00:00:00,,,,
QUE,9,,PK_Solar_Quetta_BUITEMS,30.2708,66.9398,1590,UTC+05:00,BUITEMS University Road,Quetta,Balochistan,Pakistan,,,,BSk,,1,,"The Balochistan University of Information Technology, Engineering and Management Sciences",https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,2015-09-17T00:00:00,,,,
