ID,WMOID,Name,Latitude,Longitude,Elevation,Timezone,Address,City,Region,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
PHIMAI,,phimai,15.184,102.564,212,UTC+07:00,,Rang Ka Yai,Nakhon Ratchasima Province,Thailand,,,,Aw,,,Hitoshi Irie and Tamio Takamura (CEReS/Chiba-U.),Bureau of Royal Rainmaking and Agricultural Aviation (BRRAA),http://atmos3.cr.chiba-u.jp/skynet/phimai/phimai.html,,,,,
SEOUL,,seoul,37.46,126.95,85,UTC+09:00,"1, Gwanak-ro","Seoul, Gwanak-gu",,South Korea,,,,Dwa,,,Sang Woo Kim and B. J. Sohn,,http://atmos3.cr.chiba-u.jp/skynet/seoul/seoul.html,,,,,
SENDAI,,sendai,38.26,140.84,153,UTC+09:00,青葉山亀岡線,Sendai,,Japan,,,,Cfa,,,Tadahiro Hayasaka,Tohoku Univ.,http://atmos3.cr.chiba-u.jp/skynet/sendai/sendai.html,,,,,
MIYAKO,,Miyako-jima,24.737,125.327,50,UTC+09:00,,Miyakojima,,Japan,,,,,,,Hitoshi Irie and Tamio Takamura,CEReS/Chiba-U.,http://atmos3.cr.chiba-u.jp/skynet/miyako/miyako.html,,,,,
FUKUE,,Fukue-jima,32.752,128.682,80,UTC+09:00,,Goto,,Japan,,,,,,,Hitoshi Irie and Tamio Takamura,CEReS/Chiba-U.,http://atmos3.cr.chiba-u.jp/skynet/fukue/fukue.html,,,,,
CAPEHEDO,,Cape Hedo,16.867,128.248,65,UTC+09:00,,Rang Ka Yai,Nakhon Ratchasima Province,Thailand,,,,,,,Hitoshi Irie and Tamio Takamura,CEReS/Chiba-U.,http://atmos3.cr.chiba-u.jp/skynet/capehedo/capehedo.html,,,,,
CHIBA,,Chiba,35.625,140.104,21,UTC+09:00,ゆりの木通り,Chiba,,Japan,,,,Cfa,,,Hitoshi Irie and Tamio Takamura,CEReS/Chiba-U.,http://atmos3.cr.chiba-u.jp/skynet/chiba/chiba.html,,,,,
